COLLEGE,RANKING
American University,68
Amherst College,2
Barnard College,14
Bates College,26
Baylor University,67
Boston college,39
Boston University,43
Bowdoin College,5
Brown University,9
Bryn Mawr College,29
Bucknell University,31
California Institute of Technology,7
Carleton College,8
Carnegie mellon University,24
Case Western Reserve University,53
Claremont McKenna College,9
Clark University,61
Colby College,25
Colgate University,22
College of the Holy Cross,28
Colorado College,30
Columbia University,12
Connecticut College,44
Cornell University,12
Dartmouth college,18
Davidson College,15
Denison University,36
Duke University,7
Emory University,24
Florida State University,53
Franklin and Marshall College,32
Furman University,48
Georgetown University,22
Georgia institute of technology,33
Grinnell College,19
Hamilton College,16
Harvard University,3
Harvey Mudd College,12
Haverford College,24
Howard University,86
Indiana University-Bloomington,69
Johns Hopkins University,9
Kenyon College,45
Lafayette College,33
Lehigh University,47
Macalester College,27
Massachusetts Institute of Technology,2
Michigan State University,64
Middlebury College,20
Mount Holyoke College,34
New york university,35
Northeastern University,53
Northwestern University,9
Occidental College,35
Ohio State University,43
Pitzer College,37
Pomona College,6
Princeton University,1
Purdue University,43
Rice University,17
Rutgers University-New Brunswick,40
Skidmore College,38
Smith College,17
Southern Methodist University,60
Spelman College,41
St. Olaf College,50
Stanford University,3
Swarthmore College,3
Syracuse University,58
Texas A&M University,47
Trinity College,39
Tufts University,40
Union College,43
United States Air Force Academy,10
United States Naval Academy,4
University of Alabama-Birmingham,83
University of Arizona,85
"University of California, Berkeley",15
"University of California, Davis",28
"University of California, Irvine",33
"University of California, Los Angeles",15
"University of California, San Diego",28
"University of California, Santa Barbara",35
University of Chicago,12
University of Connecticut,59
University of Delaware,73
University of Denver,71
University of Florida,28
University of Georgia,47
University of Illinois Urbana-Champaign,35
University of Illinois-Chicago,97
University of Iowa,76
University of Kansas,81
University of La Verne,98
University of Maryland,46
University of Massachusetts-Amherst,63
University of Massachusetts-Lowell,96
University of michigan,21
University of Minnesota,53
University of Minnesota,66
University of Missouri,92
University of Nebraska,84
University of North Carolina,22
University of North Carolina,100
University of Notre Dame,20
University of Oregon,82
University of Pennsylvania,6
University of Pittsburgh,65
University of Richmond,23
University of Rochester,47
University of San Diego,78
University of San Francisco,95
University of South Carolina,89
University of southern california,28
University of Texas at Austin,32
University of the Pacific,88
University of Utah,87
University of Vermont,74
University of Virginia,24
University of washington,40
University of Wisconsin-Madison,35
Vanderbilt University,18
Vassar College,13
Virginia Tech,47
Wake forest university,47
Washington and Lee University,21
Washington University in St. Louis,24
Wellesley College,7
Wesleyan University,18
Whitman College,46
William and Mary,53
Williams College,1
Yale University,5
